institution_id,canonical_name,institution_type,source_provider_names_json,source_provider_ids_json,source_governance_names_json,source_governance_ids_json,target_count,notes
eur,Erasmus University Rotterdam,research-university,"[""Erasmus Universiteit Rotterdam""]","[""114A337""]","[""Erasmus Universiteit Rotterdam""]","[""107B576""]",27,
wdka,Willem de Kooning Academy,university-of-applied-sciences-academy,[],[],[],[],1,Arts partner in the RASL dual-degree route; academy of Rotterdam University of Applied Sciences.
radboud,Radboud University,research-university,"[""Radboud Universiteit Nijmegen (RU) Faculteit der FTR"",""Radboud Universiteit Nijmegen (RU) Faculteit der Sociale Wetenschappen"",""Radboud Universiteit Nijmegen (RU) Faculteit der NWI"",""Radboud Universiteit Nijmegen (RU) Faculteit der Medische Wetenschappen"",""Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen"",""Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid"",""Radboud Universiteit Nijmegen (RU) Faculteit der Letteren""]","[""114A129"",""114A124"",""114A125"",""114A127"",""114A126"",""114A123"",""114A122""]","[""Het College van Bestuur van de Radboud Universiteit Nijmegen""]","[""107B484""]",49,
vu,VU Amsterdam,research-university,"[""VU - Vrije Universiteit Amsterdam""]","[""111A136""]","[""Het College van Bestuur van de Vrije Universiteit""]","[""107B482""]",47,
uva,University of Amsterdam,research-university,"[""Universiteit van Amsterdam""]","[""113A697""]","[""Het College van Bestuur van de Vrije Universiteit"",""Universiteit van Amsterdam""]","[""107B482"",""107B473""]",63,
um,Maastricht University,research-university,"[""Universiteit Maastricht""]","[""113A920""]","[""Maastricht University""]","[""107B471""]",28,
ou,Open Universiteit,research-university,"[""Open Universiteit""]","[""111A359""]","[""Open Universiteit Nederland""]","[""107B497""]",7,
pthu,Protestant Theological University,research-university,"[""Protestantse Theologische Universiteit""]","[""113A908""]","[""Protestantse Theologische Universiteit (PThU)""]","[""107B461""]",2,
rug,University of Groningen,research-university,"[""Rijksuniversiteit Groningen""]","[""113A748""]","[""Rijksuniversiteit Groningen""]","[""107B448""]",60,
tilburg,Tilburg University,research-university,"[""Tilburg University""]","[""112A446""]","[""Stichting Katholieke Universiteit Brabant""]","[""107B481""]",27,
tue,Eindhoven University of Technology,research-university,"[""Technische Universiteit Eindhoven""]","[""114A734""]","[""Technische Universiteit Eindhoven""]","[""107B450""]",15,
uvh,University of Humanistic Studies,research-university,"[""Universiteit voor Humanistiek""]","[""109A997""]","[""Stichting Universiteit voor Humanistiek""]","[""107B544""]",1,
tud,Delft University of Technology,research-university,"[""Technische Universiteit Delft""]","[""111A562""]","[""Technische Universiteit Delft""]","[""107B605""]",16,
tua,Theological University Apeldoorn,research-university,"[""Theologische Universiteit Apeldoorn""]","[""113A677""]","[""Theologische Universiteit Apeldoorn""]","[""107B487""]",1,
tuu,Theological University Utrecht,research-university,"[""Theologische Universiteit Utrecht""]","[""114A554""]","[""Theologische Universiteit van de Gereformeerde Kerk (Vrijg) in Nederland""]","[""107B617""]",1,
leiden,Leiden University,research-university,"[""Universiteit Leiden""]","[""114A561""]","[""Universiteit Leiden""]","[""107B578""]",50,
ut,University of Twente,research-university,"[""Universiteit Twente""]","[""114A514""]","[""Universiteit Twente""]","[""107B523""]",5,
uu,Utrecht University,research-university,"[""Universiteit Utrecht""]","[""112A764""]","[""Universiteit Utrecht""]","[""107B449""]",45,
wur,Wageningen University & Research,research-university,"[""Wageningen University""]","[""114A640""]","[""Wageningen University""]","[""107B451""]",22,
buas,Breda University of Applied Sciences,university-of-applied-sciences,[],[],[],[],1,Joint-degree partner introduced by Step 2 official-source resolution.
