source_excel_row,source_registry_offering_count,AANGEBODEN_OPLEIDINGCODE,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,SOORT,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,NAAM_LANG,INTERNATIONALE_NAAM,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,BEGINDATUM,EINDDATUM,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIEPLAATS,raw_record_count,raw_csv_rows_json,raw_conflict_fields_json,raw_conflict_values_json
2,1,0cda5cdf-a7d9-248e-e063-6ff1ff0a9669,1015O5181,,56607,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Academische Pabo,,Academische Pabo,VOLTIJD,NLD,180,,,2020-12-04,,2023-09-01,,,,,,,1,[6071],[],{}
3,1,0cda5cdf-a7e9-248e-e063-6ff1ff0a9669,1015O5182,,56627,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bachelor Bestuurskunde,Bachelor of Public Administration,Bachelor Bestuurskunde,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/bestuurskunde,,,,,1,[6072],[],{}
4,1,0cda5cdf-a813-248e-e063-6ff1ff0a9669,1015O5183,,56627,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bachelor in Management of International Social Challenges,Bachelor in Management of International Social Challenges,Bachelor in Management of International Social Challenges,VOLTIJD,ENG,180,,,2020-09-08,,2026-09-01,,https://www.eur.nl/en/bachelor/management-international-social-challenges,,,,,1,[6073],[],{}
5,1,0cda5cdf-a821-248e-e063-6ff1ff0a9669,1015O5180,,56607,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bachelor Pedagogische Wetenschappen,Bachelor of Pedagogical Sciences,Bachelor Pedagogische Wetenschappen,VOLTIJD,NLD,180,,,2011-09-01,,2026-09-01,,https://www.eur.nl/bachelor/pedagogische-wetenschappen,,,,,1,[6070],[],{}
6,1,0c4d7e3e-b03a-4de4-e063-6ff1ff0ac940,1015O5919,,56604,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bachelor Psychologie,Bachelor of Psychology,Bachelor Psychologie,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/psychologie,,,,,1,[6102],[],{}
7,2,0cda5cdf-a829-248e-e063-6ff1ff0a9669,1015O5177,,56601,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bachelor Sociologie,Bachelor of Sociology,Bachelor Sociologie,VOLTIJD,NLD,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/sociologie,,,,,1,[6069],[],{}
7,2,0cda5cdf-a82f-248e-e063-6ff1ff0a9669,1015O5177,,56601,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bachelor Sociologie,Bachelor of Sociology,Bachelor Sociologie,DEELTIJD,NLD,180,,,2002-09-01,,2026-09-01,,https://www.eur.nl/bachelor/sociologie,,,,,1,[6068],[],{}
8,1,0bac182b-828d-5088-e063-6ff1ff0a75e4,1015O5159,,50645,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,Bedrijfskunde,Business Administration,Bedrijfskunde,VOLTIJD,NLD,180,,,2009-09-01,,2026-09-01,,https://www.eur.nl/bachelor/bedrijfskunde,,,,,1,[6054],[],{}
9,1,0bad61cb-025a-5d99-e063-6ff1ff0aab5f,1015O5189,,56833,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,BSc2 Econometrics,BSc2 Econometrics,BSc2 Econometrics,VOLTIJD,NLD,180,,,2020-09-08,,2026-09-01,,https://www.eur.nl/en/bachelor/double-bachelor-bsc2-econometrics-and-economics,,,,,1,[6077],[],{}
10,1,0bac182b-82b1-5088-e063-6ff1ff0a75e4,1015O5163,,50950,VARIANT,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,BSc2 Economics,BSc2 Economics,BSc2 Economics,VOLTIJD,ENG,180,,,2020-09-08,,2026-09-01,,https://www.eur.nl/en/bachelor/double-bachelor-bsc2-econometrics-and-economics,,,,,1,[6059],[],{}
