source_interest_excel_row,source_excel_row,OPLEIDINGSEENHEIDCODE,ONDERWIJSAANBIEDER_NAAM,ERKENDEOPLEIDINGSCODE,NAAM_LANG,student_interest,evidence,source_title,source_url,strength,interest_relationship,counselor_programme_id,target_mapping_status
2,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,criminology and how societies define crime,The programme describes criminology as investigating what counts as crime and how societies formally and informally respond to it.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Direct programme interest,cp-000008,mapped
3,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,why people commit crimes,"Students examine explanations of offending, including why different forms of criminal behaviour arise.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Direct programme interest,cp-000008,mapped
4,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,psychological explanations of crime,The programme explicitly combines criminology with psychological perspectives on criminal behaviour.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
5,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,the social causes and consequences of crime,The curriculum uses sociological perspectives to explain crime and its consequences for society.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Direct programme interest,cp-000008,mapped
6,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,criminal careers and repeat offending,"The study programme examines offenders' life courses, criminal careers, and the relationship between work and crime.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
7,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,violent crime,The programme explicitly applies criminological theories to violence as a distinct real-world problem.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
8,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,drug-related crime,The programme identifies drugs as a substantive problem area for applying and comparing criminological explanations.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
9,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,"financial crime, fraud and money laundering","The curriculum explicitly studies fraud, while the programme's career page identifies forensic-accountancy and financial-crime analysis roles.",Criminologie — study programme and application exercise || Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/studieprogramma || https://www.eur.nl/bachelor/criminologie/na-je-studie,Explicit,Curricular topic,cp-000008,mapped
10,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,organised crime and corporate offending,The bachelor's progression page identifies organisational and organised crime as a directly connected criminology specialisation.,Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/na-je-studie,Inferred,Outcome or individual trajectory,cp-000008,mapped
11,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,youth crime and knife violence,A programme-specific application exercise asks students to analyse news coverage of knife violence among young people.,Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Illustrative or temporary topic,cp-000008,mapped
12,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,"migration, exclusion and crime","A substantive curriculum description examines migration, diversity, exclusion, regulation, and their connections with crime.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
13,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,crime victims and victim support,The programme explicitly studies who victims are and identifies victim-support organisations among relevant graduate destinations.,Criminologie — study programme and application exercise || Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/studieprogramma || https://www.eur.nl/bachelor/criminologie/na-je-studie,Explicit,Direct programme interest,cp-000008,mapped
14,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,criminal law and criminal procedure,"The study programme explains the role of substantive criminal law, criminal liability, and criminal procedure in understanding crime.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Direct programme interest,cp-000008,mapped
15,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,how law works in everyday society,"The empirical-legal component examines social factors shaping legal rules, compliance, and the actual effects of law.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Curricular topic,cp-000008,mapped
16,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,policing and criminal investigations,The programme identifies police crime-analysis and related investigative positions as concrete professional directions.,Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/na-je-studie,Explicit,Outcome or individual trajectory,cp-000008,mapped
17,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,public safety and urban security policy,"The curriculum examines security policy, political decision-making, crime figures, and local safety challenges.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Direct programme interest,cp-000008,mapped
18,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,preventing crime,Programme and career materials explicitly address projects and policies intended to prevent criminal behaviour.,Criminologie — study programme and application exercise || Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/studieprogramma || https://www.eur.nl/bachelor/criminologie/na-je-studie,Explicit,Direct programme interest,cp-000008,mapped
19,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,"punishment, sanctions and their effects","The programme examines societal responses to crime, including sanctions and whether criminal-justice interventions achieve their aims.",Criminologie — study programme and application exercise,https://www.eur.nl/bachelor/criminologie/studieprogramma,Explicit,Direct programme interest,cp-000008,mapped
20,11,1001O5900,Erasmus Universiteit Rotterdam,56469,Criminologie,rehabilitation and probation,The programme's career page explicitly identifies probation services as a relevant criminology destination.,Criminologie — master's options and careers,https://www.eur.nl/bachelor/criminologie/na-je-studie,Explicit,Outcome or individual trajectory,cp-000008,mapped
