counselor_programme_id,registry_order,production_order,canonical_name,primary_institution_id,institution_ids_json,programme_type,current_status,production_eligible,study_load_ec,duration_years,languages_json,modes_json,locations_json,consortium,source_excel_rows_json,offering_ids_json,programme_unit_codes_json,recognized_programme_codes_json,variant_of_codes_json,registry_record_types_json,source_provider_ids_json,aliases_json,registry_urls_json,normalization_basis,decision_case_ids_json,official_source_ids_json,official_source_urls_json,normalization_group,corrected_attributes_json
cp-000001,1,1,Bachelor Bestuurskunde,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[3],"[""0cda5cdf-a7e9-248e-e063-6ff1ff0a9669""]","[""1015O5182""]",[],"[""56627""]","[""VARIANT""]","[""114A337""]","[""Bachelor Bestuurskunde"",""Bachelor of Public Administration""]","[""https://www.eur.nl/bachelor/bestuurskunde""]",step1-no-ambiguity,[],[],[],row-3,{}
cp-000002,2,2,Bachelor in Management of International Social Challenges,eur,"[""eur""]",standard,active,true,180,,"[""ENG""]","[""VOLTIJD""]",[],,[4],"[""0cda5cdf-a813-248e-e063-6ff1ff0a9669""]","[""1015O5183""]",[],"[""56627""]","[""VARIANT""]","[""114A337""]","[""Bachelor in Management of International Social Challenges""]","[""https://www.eur.nl/en/bachelor/management-international-social-challenges""]",step1-no-ambiguity,[],[],[],row-4,{}
cp-000003,3,3,Bachelor Pedagogische Wetenschappen,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[5],"[""0cda5cdf-a821-248e-e063-6ff1ff0a9669""]","[""1015O5180""]",[],"[""56607""]","[""VARIANT""]","[""114A337""]","[""Bachelor Pedagogische Wetenschappen"",""Bachelor of Pedagogical Sciences""]","[""https://www.eur.nl/bachelor/pedagogische-wetenschappen""]",step1-no-ambiguity,[],[],[],row-5,{}
cp-000004,4,4,Bachelor Psychologie,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[6],"[""0c4d7e3e-b03a-4de4-e063-6ff1ff0ac940""]","[""1015O5919""]",[],"[""56604""]","[""VARIANT""]","[""114A337""]","[""Bachelor Psychologie"",""Bachelor of Psychology""]","[""https://www.eur.nl/bachelor/psychologie""]",step1-no-ambiguity,[],[],[],row-6,{}
cp-000005,5,5,Bachelor Sociologie,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD"",""DEELTIJD""]",[],,[7],"[""0cda5cdf-a829-248e-e063-6ff1ff0a9669"",""0cda5cdf-a82f-248e-e063-6ff1ff0a9669""]","[""1015O5177""]",[],"[""56601""]","[""VARIANT""]","[""114A337""]","[""Bachelor Sociologie"",""Bachelor of Sociology""]","[""https://www.eur.nl/bachelor/sociologie""]",step1-no-ambiguity,[],[],[],row-7,{}
cp-000006,6,6,Bedrijfskunde,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[8],"[""0bac182b-828d-5088-e063-6ff1ff0a75e4""]","[""1015O5159""]",[],"[""50645""]","[""VARIANT""]","[""114A337""]","[""Bedrijfskunde"",""Business Administration""]","[""https://www.eur.nl/bachelor/bedrijfskunde""]",step1-no-ambiguity,[],[],[],row-8,{}
cp-000007,7,7,Double bachelor BSc² in Econometrics and Economics,eur,"[""eur""]",double-bachelor,active,true,264,4,"[""ENG""]","[""VOLTIJD""]",[],,"[9,10]","[""0bad61cb-025a-5d99-e063-6ff1ff0aab5f"",""0bac182b-82b1-5088-e063-6ff1ff0a75e4""]","[""1015O5189"",""1015O5163""]",[],"[""56833"",""50950""]","[""VARIANT""]","[""114A337""]","[""BSc2 Econometrics"",""BSc2 Economics""]","[""https://www.eur.nl/en/bachelor/double-bachelor-bsc2-econometrics-and-economics""]",step2-resolved,"[""rc-0001"",""rc-0002""]","[""src-eur-bsc2""]","[""https://www.eur.nl/en/bachelor/double-bachelor-bsc2-econometrics-and-economics/facts-figures""]",eur-bsc2-econometrics-economics,"{""duration_years"":4,""study_load_ec"":264,""languages"":[""ENG""],""programme_type"":""double-bachelor""}"
cp-000008,8,8,Criminologie,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[11],"[""0c4d7e3e-b032-4de4-e063-6ff1ff0ac940""]","[""1001O5900""]","[""56469""]",[],"[""OPLEIDING""]","[""114A337""]","[""Criminologie""]","[""https://www.eur.nl/bachelor/criminologie""]",step1-no-ambiguity,[],[],[],row-11,{}
cp-000009,9,9,Econometrie en Operationele Research,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[12],"[""0bad61cb-024a-5d99-e063-6ff1ff0aab5f""]","[""1015O5187""]",[],"[""56833""]","[""VARIANT""]","[""114A337""]","[""Econometrie en Operationele Research"",""Econometrics and Operations Research""]","[""https://www.eur.nl/bachelor/econometrie-en-operationele-research""]",step1-no-ambiguity,[],[],[],row-12,{}
cp-000010,10,10,Economie en Bedrijfseconomie,eur,"[""eur""]",standard,active,true,180,,"[""NLD""]","[""VOLTIJD""]",[],,[13],"[""0bac182b-82a3-5088-e063-6ff1ff0a75e4""]","[""1015O5161""]",[],"[""50950""]","[""VARIANT""]","[""114A337""]","[""Economie en Bedrijfseconomie"",""Economics and Business Economics""]","[""https://www.eur.nl/bachelor/economie-en-bedrijfseconomie""]",step1-no-ambiguity,[],[],[],row-13,{}
