case_id,case_type,priority,source_excel_rows_json,offering_ids_json,programme_unit_codes_json,programme_names_json,providers_json,trigger_fields_json,details_json,research_likely,status
rc-0001,special-programme-structure-review,P1,[9],"[""0bad61cb-025a-5d99-e063-6ff1ff0aab5f""]","[""1015O5189""]","[""BSc2 Econometrics""]","[""Erasmus Universiteit Rotterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
rc-0002,special-programme-structure-review,P1,[10],"[""0bac182b-82b1-5088-e063-6ff1ff0a75e4""]","[""1015O5163""]","[""BSc2 Economics""]","[""Erasmus Universiteit Rotterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
rc-0003,special-programme-structure-review,P1,[15],"[""585a2167-fabe-49d0-a8ca-5604f70d5fe1""]","[""1016O6103""]","[""RASL Dual Degree Philosophy en WdKA""]","[""Erasmus Universiteit Rotterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
rc-0004,programme-lifecycle-review,P2,[18],"[""0bad51c1-b436-4e64-e063-6ff1ff0aea47""]","[""1015O5170""]","[""Fiscale Economie""]","[""Erasmus Universiteit Rotterdam""]","[""AANGEBODEN_OPLEIDING_EINDDATUM""]","{""AANGEBODEN_OPLEIDING_EINDDATUM"":[""2029-08-31""]}",true,pending
rc-0005,programme-lifecycle-review,P2,[47],"[""ff66a977-b280-4159-b41b-ea3222e2aee1""]","[""1001O5640""]","[""European Law School""]","[""Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid""]","[""EINDDATUM""]","{""EINDDATUM"":[""2027-09-01""]}",true,pending
rc-0006,multiple-programme-units-in-source-row,P1,[58],"[""1c80d61e-8f91-434d-a83c-c22bcf0a2c3e"",""d514a08b-89d8-4f6b-9e79-1695fb4f6ee4""]","[""1016O6658"",""1016O6836""]","[""Islam, Politiek en Samenleving""]","[""Radboud Universiteit Nijmegen (RU) Faculteit der FTR""]","[""OPLEIDINGSEENHEIDCODE""]","{""OPLEIDINGSEENHEIDCODE"":[""1016O6658"",""1016O6836""]}",true,pending
rc-0007,multiple-programme-units-in-source-row,P1,[64],"[""bec73d07-6710-4b89-89e7-1b6093b6805e"",""c0f0b972-978b-416d-95a4-39b4536c2589""]","[""1016O6840"",""1016O6841""]","[""Notarieel Recht""]","[""Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid""]","[""OPLEIDINGSEENHEIDCODE""]","{""OPLEIDINGSEENHEIDCODE"":[""1016O6840"",""1016O6841""]}",true,pending
rc-0008,multiple-programme-units-in-source-row,P1,[70],"[""3b90cff7-4033-4b7d-a674-ef9269c537d4"",""e87e02ad-4cad-404b-9663-018c7c735a21""]","[""1016O6834"",""1016O6835""]","[""Rechtsgeleerdheid""]","[""Radboud Universiteit Nijmegen (RU) Faculteit der Rechtsgeleerdheid""]","[""OPLEIDINGSEENHEIDCODE""]","{""OPLEIDINGSEENHEIDCODE"":[""1016O6834"",""1016O6835""]}",true,pending
rc-0009,multiple-programme-units-in-source-row,P1,[71],"[""503d783b-e952-44a0-9894-aa05e4cf0dd9"",""f008aeab-6b6d-4b74-9bc7-58c7a6bceabe""]","[""1016O6659"",""1016O6837""]","[""Religie, Politiek en Samenleving""]","[""Radboud Universiteit Nijmegen (RU) Faculteit der FTR""]","[""OPLEIDINGSEENHEIDCODE""]","{""OPLEIDINGSEENHEIDCODE"":[""1016O6659"",""1016O6837""]}",true,pending
rc-0010,multiple-programme-units-in-source-row,P1,[78],"[""ba0182f6-7593-48de-98a6-64ef86114a23"",""cefb4922-5684-4ad3-b71e-5e3e7117bbf6""]","[""1016O6838"",""1016O6839""]","[""Theologie""]","[""Radboud Universiteit Nijmegen (RU) Faculteit der FTR""]","[""OPLEIDINGSEENHEIDCODE""]","{""OPLEIDINGSEENHEIDCODE"":[""1016O6838"",""1016O6839""]}",true,pending
rc-0011,programme-lifecycle-review,P2,[88],"[""ce95e488-4fb0-4673-ad37-593a42a45b6d""]","[""1001O6233""]","[""Biomedical Sciences""]","[""VU - Vrije Universiteit Amsterdam""]","[""EINDDATUM""]","{""EINDDATUM"":[""2026-09-01""]}",true,pending
rc-0012,special-programme-structure-review,P1,[128],"[""ce9c0cb0-77b0-4c5b-a50e-7774287eb2d5""]","[""1001O5782""]","[""Liberal Arts and Sciences (joint degree)""]","[""Universiteit van Amsterdam""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[""111A136""]}",true,pending
rc-0013,multiple-languages-in-source-row,P1,[157],"[""01500bba-81d9-45a0-bc40-73c7c1b8b883"",""96bc9a22-5859-48d9-92c8-ea7aa5d6cb17""]","[""1001O5728""]","[""Rechtsgeleerdheid""]","[""Universiteit Maastricht""]","[""VOERTAAL""]","{""VOERTAAL"":[""ENG"",""NLD""]}",true,pending
rc-0014,special-programme-structure-review,P1,[160],"[""1f54541f-c421-4c9a-9ee8-d3cd965530b9""]","[""1016O2836""]","[""Urban Sustainability Studies (joint degree)""]","[""Universiteit Maastricht""]","[""programme_name_keyword"",""SAMENWERKEND_MET"",""BUITENLANDSEPARTNER""]","{""special_name_indicator"":true,""collaboration_values"":[]}",true,pending
