case_id,institution,source_rows_json,decision_action,provisional_target_group,target_count,canonical_target_names_json,current_status,production_eligible,corrected_attributes_json,rationale,source_ids_json,resolved_date,status
rc-0001,Erasmus University Rotterdam,"[9,10]",merge_to_single_target,eur-bsc2-econometrics-economics,1,"[""Double bachelor BSc² in Econometrics and Economics""]",active,True,"{""duration_years"":4,""study_load_ec"":264,""languages"":[""ENG""],""programme_type"":""double-bachelor""}","Rows 9 and 10 are two registry-side representations of one current double bachelor. The official programme is a single four-year, 264-EC English double bachelor, so counselor production should create one comparison target with both source rows as provenance.","[""src-eur-bsc2""]",2026-09-12,resolved
rc-0002,Erasmus University Rotterdam,"[9,10]",merge_to_single_target,eur-bsc2-econometrics-economics,1,"[""Double bachelor BSc² in Econometrics and Economics""]",active,True,"{""duration_years"":4,""study_load_ec"":264,""languages"":[""ENG""],""programme_type"":""double-bachelor""}",Same resolution as rc-0001: BSc2 Economics and BSc2 Econometrics are not separate current counselor targets; they jointly represent the single current BSc² double bachelor.,"[""src-eur-bsc2""]",2026-09-12,resolved
rc-0003,Erasmus University Rotterdam,[15],retain_special_route_target,eur-rasl-philosophy-wdka,1,"[""RASL Dual Degree: Philosophy + Willem de Kooning Academy""]",active,True,"{""duration_years"":5,""study_load_ec"":300,""programme_type"":""dual-degree-route"",""awards"":""two bachelor degrees""}","Retain as a counselor target because it is a real current student route, but classify it as a dual-degree route rather than a standard 180-EC bachelor. RASL combines two bachelor programmes and the Philosophy + WdKA combination is specifically supported.","[""src-eur-rasl-philosophy"",""src-eur-rasl-facts"",""src-eur-rasl-oer""]",2026-09-12,resolved
rc-0004,Erasmus University Rotterdam,[18],retain_inactive_target,eur-fiscale-economie,1,"[""Fiscale Economie""]",teach-out-only,False,"{""study_load_ec"":180,""new_enrolment"":false,""teach_out_through"":""2028-2029""}","Preserve the programme in the normalized registry for provenance/history, but exclude it from the active counselor production queue because new students can no longer enrol.","[""src-eur-fiscale""]",2026-09-12,resolved
rc-0005,Radboud University,[47],normalize_to_current_successor,ru-nederlands-europees-internationaal-recht,1,"[""Nederlands, Europees en Internationaal Recht""]",active-successor,True,"{""previous_name"":""European Law School"",""effective_date"":""2026-09-01"",""current_recognized_programme_code"":""57085"",""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD""]}",Do not drop the ending European Law School source row. It is the predecessor of the current renamed bachelor. Normalize the counselor target to the current programme identity while retaining the old identifiers as provenance; a refreshed current offering UUID should be added when a newer RIO snapshot is ingested.,"[""src-ru-neir"",""src-ru-neir-decision""]",2026-09-12,resolved
rc-0006,Radboud University,[58],merge_offerings_to_single_target,ru-islam-politiek-samenleving,1,"[""Islam, Politiek en Samenleving""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""],""programme_relation"":""student-facing specialisation of CROHO 50902""}","The two programme-unit codes are delivery variants for one current student-facing programme/specialisation. Merge full-time and part-time offerings into one target. Keep it distinct from Religie, Politiek en Samenleving because Radboud markets it as a separately chosen specialisation with its own programme page and content.","[""src-ru-ips""]",2026-09-12,resolved
rc-0007,Radboud University,[64],merge_offerings_to_single_target,ru-notarieel-recht,1,"[""Notarieel Recht""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""]}","Current Radboud presents one Bachelor Notarieel Recht with both full-time and part-time modes. The separate programme-unit codes should therefore be delivery provenance, not separate counselor targets.","[""src-ru-notarial""]",2026-09-12,resolved
rc-0008,Radboud University,[70],merge_offerings_to_single_target,ru-rechtsgeleerdheid,1,"[""Rechtsgeleerdheid""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""]}",Current Radboud presents one Bachelor Rechtsgeleerdheid with full-time and part-time modes. Merge the delivery-specific programme units into one target.,"[""src-ru-law""]",2026-09-12,resolved
rc-0009,Radboud University,[71],merge_offerings_to_single_target,ru-religie-politiek-samenleving,1,"[""Religie, Politiek en Samenleving""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""],""recognized_code"":""50902""}","The full-time and part-time programme units represent one current student-facing programme. Merge them into one target, while keeping this target distinct from Islam, Politiek en Samenleving.","[""src-ru-rps""]",2026-09-12,resolved
rc-0010,Radboud University,[78],merge_offerings_to_single_target,ru-theologie,1,"[""Theologie""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD"",""DEELTIJD""]}",Current Radboud presents one Bachelor Theologie available in full-time and part-time modes. Merge the delivery-specific programme units into one counselor target.,"[""src-ru-theology""]",2026-09-12,resolved
rc-0011,VU Amsterdam,[88],retain_active_target_correct_metadata,vu-biomedical-sciences,1,"[""Biomedical Sciences""]",active,True,"{""study_load_ec"":180,""languages"":[""NLD""],""modes"":[""VOLTIJD""],""language_change_effective"":""2026-2027""}",The lifecycle flag does not indicate closure. VU is actively admitting to Biomedical Sciences; from 2026-2027 the programme changes from English to Dutch and the numerus fixus is removed.,"[""src-vu-biomed""]",2026-09-12,resolved
