source_id,institution,title,url,source_type,checked_date,supports
src-tue-bachelor-directive,Eindhoven University of Technology,TU/e Bachelor College directive,https://boost.tue.nl/sitelibrary/downloads/definitive-directive-bc-2023-engv14-17062022.pdf,official_regulation,2026-09-12,TU/e bachelor programmes have a 180-credit programme design.
src-tue-data,Eindhoven University of Technology,Bachelor Data Science,https://research.tue.nl/en/organisations/bachelor-data-science/,official_university_page,2026-09-12,TU/e maintains the Bachelor Data Science academic unit; current 2026 evidence identifies it as the joint bachelor with Tilburg.
src-tue-me,Eindhoven University of Technology,Mechanical Engineering bachelor selection courses,https://getting.oncourse.tue.nl/selection/course/index.php?categoryid=2,official_university_page,2026-09-12,Current TU/e selection environment explicitly lists Bachelor Mechanical Engineering; combined with TU/e bachelor directive supports 180 EC.
src-eur-acpa,Erasmus University Rotterdam,Educatieve Master Primair Onderwijs — Toelating,https://www.eur.nl/master/educatieve-master-primair-onderwijs/toelating,official_programme_page,2026-09-12,EUR explicitly distinguishes its WO master from the Academische Pabo and describes Academische Pabo as a different route.
src-eur-bsc2,Erasmus University Rotterdam,Facts & Figures — Double bachelor BSc² in Econometrics and Economics,https://www.eur.nl/en/bachelor/double-bachelor-bsc2-econometrics-and-economics/facts-figures,official_programme_page,2026-09-12,One current double bachelor; 4 years; 264 EC; English; double degree.
src-eur-fiscale,Erasmus University Rotterdam,Bachelor Fiscale Economie,https://www.eur.nl/view_mode_page/full/node/24241,official_programme_page,2026-09-12,No new applications; bachelor is being discontinued; current students can finish through 2028–2029.
src-eur-rasl-facts,Erasmus University Rotterdam,Facts & Figures — Dual Degree in Arts and Sciences,https://www.eur.nl/en/bachelor/dual-degree-arts-and-sciences/facts-figures,official_programme_page,2026-09-12,"Current RASL umbrella is five years, 300 EC and a double degree."
src-eur-rasl-oer,Erasmus University Rotterdam,Bachelor Filosofie OER 2025–2026,https://www.eur.nl/esphil/media/2025-08-bachelor-filosofie-oer-voltijd-en-deeltijd-2025-2026,official_regulation,2026-09-12,RASL is a service/dual-study arrangement combining two bachelor programmes rather than one standalone educational programme.
src-eur-rasl-philosophy,Erasmus University Rotterdam,Dual Degree with Arts and Philosophy,https://www.eur.nl/en/esphil/education/dual-degree-arts-and-philosophy,official_programme_page,2026-09-12,Philosophy can be combined with a Willem de Kooning Academy bachelor in a five-year dual-degree route.
src-hr-acpa,Hogeschool Rotterdam,Academische Pabo — Opleidingsgegevens,https://www.hogeschoolrotterdam.nl/opleidingen/bachelor/academische-pabo/voltijd/opleidingsgegevens/,official_programme_registration_page,2026-09-12,Current Academische Pabo consists of HR Bachelor Opleiding tot leraar Basisonderwijs (34808) plus EUR master Pedagogy and Education (60420).
src-leiden-crim-oer,Leiden University,OER Bachelor Criminologie 2025-2026,https://www.organisatiegids.universiteitleiden.nl/binaries/content/assets/rechtsgeleerdheid/reglementen/oeren/2025-2026/fdr-onderwijs--en-examenregeling-oer-bachelor-criminologie-2025-2026-1.pdf,official_regulation,2026-09-12,Current bachelor is offered in full-time and part-time form; future raw end date does not indicate present closure.
src-leiden-fiscal,Leiden University,Bachelor Fiscaal Recht,https://www.universiteitleiden.nl/onderwijs/opleidingen/bachelor/fiscaal-recht/pdf,official_programme_page,2026-09-12,Current Fiscaal Recht bachelor is active.
