source_excel_row,ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,NAAM_LANG,EIGENNAAM,VORM,VOERTAAL,STUDIELAST,EINDDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,LAATSTE_INSTROOMDATUM,flag_codes_json,needs_resolution,resolution_case_ids_json
2,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5181,,56607,Academische Pabo,Academische Pabo,VOLTIJD,NLD,180,,,,"[""missing_website"",""variant_record""]",true,"[""rc-0083""]"
3,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5182,,56627,Bachelor Bestuurskunde,Bachelor Bestuurskunde,VOLTIJD,NLD,180,,,,"[""variant_record""]",false,[]
4,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5183,,56627,Bachelor in Management of International Social Challenges,Bachelor in Management of International Social Challenges,VOLTIJD,ENG,180,,,,"[""variant_record""]",false,[]
5,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5180,,56607,Bachelor Pedagogische Wetenschappen,Bachelor Pedagogische Wetenschappen,VOLTIJD,NLD,180,,,,"[""variant_record""]",false,[]
6,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5919,,56604,Bachelor Psychologie,Bachelor Psychologie,VOLTIJD,NLD,180,,,,"[""variant_record""]",false,[]
7,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5177,,56601,Bachelor Sociologie,Bachelor Sociologie,DEELTIJD | VOLTIJD,NLD,180,,,,"[""multi_offering_administrative_only_candidate"",""multiple_modes"",""multiple_offerings"",""variant_record""]",false,[]
8,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5159,,50645,Bedrijfskunde,Bedrijfskunde,VOLTIJD,NLD,180,,,,"[""variant_record""]",false,[]
9,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5189,,56833,BSc2 Econometrics,BSc2 Econometrics,VOLTIJD,NLD,180,,,,"[""variant_record""]",true,"[""rc-0001""]"
10,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,VARIANT,1015O5163,,50950,BSc2 Economics,BSc2 Economics,VOLTIJD,ENG,180,,,,"[""variant_record""]",true,"[""rc-0002""]"
11,107B576,Erasmus Universiteit Rotterdam,114A337,Erasmus Universiteit Rotterdam,OPLEIDING,1001O5900,56469,,Criminologie,Criminologie,VOLTIJD,NLD,180,,,,[],false,[]
