programme,registered_name,international_name,institution,kind,official_programme_code,rio_programme_unit_code,provider_id,degree,study_load,locations,languages,official_websites,rio_rows,all_registered_names,pilot_seed,pilot_match_score,status_checked,status_source
Criminologie,Criminologie,,Erasmus Universiteit Rotterdam,OPLEIDING,56469,1001O5900,114A337,BACHELOR,180,,NLD,https://www.eur.nl/bachelor/criminologie,1,Criminologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Filosofie van een Bepaald Wetenschapsgebied,Filosofie van een Bepaald Wetenschapsgebied,Philosophy of a Specific Discipline,Erasmus Universiteit Rotterdam,OPLEIDING,57084,1001O6216,114A337,BACHELOR,180,,NLD,https://www.eur.nl/bachelor/bachelor-philosophy-specific-discipline,1,Filosofie van een Bepaald Wetenschapsgebied | Philosophy of a Specific Discipline,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Fiscaal Recht,Fiscaal Recht,Tax Law,Erasmus Universiteit Rotterdam,OPLEIDING,56827,1001O6063,114A337,BACHELOR,180,,NLD,https://www.eur.nl/bachelor/fiscaal-recht,1,Fiscaal Recht | Tax Law,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Erasmus Universiteit Rotterdam,OPLEIDING,50393,1001O5682,114A337,BACHELOR,180,,ENG,https://www.eur.nl/en/bachelor/liberal-arts-and-sciences,2,Liberal Arts and Sciences,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Premaster Media Studies,International Bachelor's Programme in Communication and Media,,Erasmus Universiteit Rotterdam,OPLEIDING,50374,1001O5679,114A337,BACHELOR,180,,NLD,,1,International Bachelor's Programme in Communication and Media | Premaster Media Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Theologie,Theologie,,Protestantse Theologische Universiteit,OPLEIDING,56109,1016O1755,113A908,BACHELOR,180,Utrecht,,,1,Theologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Theologie (joint degree),Theologie (joint degree),Theology (joint degree),Protestantse Theologische Universiteit,OPLEIDING,55004,1001O5786,113A908,BACHELOR,180,Amsterdam,,,1,Theologie (joint degree) | Theology (joint degree),,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master 1 jarige lerarenopleiding RDA-FFTR,Filosofie,Philosophy,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,OPLEIDING,56081,1001O5843,114A122,BACHELOR,180,Nijmegen,NLD,,2,Filosofie | Philosophy | Pre-Master's 1 year Teaching RDA-FFTR | Pre-Master's Philosophy | Pre-master 1 jarige lerarenopleiding RDA-FFTR | Pre-master Filosofie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Orthodox Christianity,Religiewetenschappen,Religious Studies,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,OPLEIDING,50902,1001O5755,114A122,BACHELOR,180,Nijmegen,ENG | NLD,,3,"Pre-Master's Orthodox Christianity | Pre-Master's Theology & Religious Studies: Islam, Politics and Society | Pre-Master's Theology & Religious Studies: Religious Studies | Pre-master Orthodox Christianity | Pre-master Theologie & Religiewetenschappen: Islam, Politiek en Samenleving | Pre-master Theologie & Religiewetenschappen: Religiewetenschappen | Religiewetenschappen | Religious Studies",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Theologie,Theologie,Theology,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,OPLEIDING,56109,1001O5857,114A122,BACHELOR,180,Nijmegen,NLD,,1,Pre-Master's Theology | Pre-master Theologie | Theologie | Theology,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Duitse Taal en Cultuur,Duitse Taal en Cultuur,German Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56805,1001O6009,114A124,BACHELOR,180,Nijmegen,NLD,,3,Duitse Taal en Cultuur | German Language and Culture | Pre-Master's European Studies | Pre-master Europese Studies | Pre-master Tweejarige Educatieve Master Duits | Two-year Educational Pre-Master's German,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Griekse en Latijnse Taal en Cultuur,Griekse en Latijnse Taal en Cultuur,Classics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56003,1001O5809,114A124,BACHELOR,180,Nijmegen,NLD,,3,Classics | Griekse en Latijnse Taal en Cultuur | Pre-Master's Classics & Ancient Civilizations: Classical Culture | Pre-Master's Classics & Ancient Civilizations: Roman Archeology | Pre-master Oudheidstudies: Klassieke Cultuur | Pre-master Oudheidstudies: Romeinse Archeologie,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Kunstgeschiedenis,Kunstgeschiedenis,Art History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56824,1001O6053,114A124,BACHELOR,180,Nijmegen,NLD,,3,Art History | Kunstgeschiedenis | Pre-Master's Arts & Culture: Art History | Pre-master Kunst- & cultuurwetenschappen: Kunstgeschiedenis | Pre-master Tweejarige Educatieve Master Kunstgeschiedenis en Culturele en Kunstzinnige Vorming | Two-year Educational Pre-Master's Art History and Cultural and Artistic Education,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Nederlandse Taal en Cultuur,Nederlandse Taal en Cultuur,Dutch Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56804,1001O6003,114A124,BACHELOR,180,Nijmegen,NLD,,5,Dutch Language and Culture | Nederlandse Taal en Cultuur | Pre-Master's 1 year Teaching RDA-FdL | Pre-Master's Literature: Literature and Society | Pre-Master's Literature: The Book Industry | Pre-master 1 jarige lerarenopleiding RDA-FdL | Pre-master Letterkunde: Literair Bedrijf | Pre-master Letterkunde: Literatuur en Samenleving | Pre-master Tweejarige Educatieve Master Nederlands | Two-year Educational Pre-Master's Dutch,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Arts & Culture Studies,Algemene Cultuurwetenschappen,Arts and Culture Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56823,1001O6045,114A124,BACHELOR,180,Nijmegen,ENG | NLD,,5,Algemene Cultuurwetenschappen | Arts and Culture Studies | Pre-Master's Arts & Culture Studies | Pre-Master's Arts & Culture: Creative Industries | Pre-Master's Arts & Culture: Cultural Policy and the Business of Art | Pre-Master's Arts & Culture: Tourism and Culture | Pre-master Arts & Culture Studies | Pre-master Kunst- & Cultuurwetenschappen | Pre-master Kunst- & cultuurwetenschappen: Creative Industries | Pre-master Kunst- & cultuurwetenschappen: Kunstbeleid en Kunstbedrijf | Pre-master Kunst- & cultuurwetenschappen: Tourism and Culture,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Communicatie en Beïnvloeding,Communicatie- en Informatiewetenschappen,Communication and Information Studies,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56826,1001O6059,114A124,BACHELOR,180,Nijmegen,ENG | NLD,,2,Communicatie- en Informatiewetenschappen | Communication and Information Studies | Pre-Master's Communication and Persuasion | Pre-Master's Global Communication and Diversity | Pre-master Communicatie en Beïnvloeding | Pre-master Global Communication and Diversity,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Geschiedenis: Ancient and Medieval Mediterranean Worlds,Geschiedenis,History,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56034,1001O5822,114A124,BACHELOR,180,Nijmegen,ENG | NLD,,4,Geschiedenis | History | Pre-Master's History: Ancient and Medieval Mediterranean Worlds | Pre-Master's History: Modern and Contemporary History | Pre-Master's History: Politics and Parliament | Pre-master Geschiedenis: Ancient and Medieval Mediterranean Worlds | Pre-master Geschiedenis: Geschiedenis en Actualiteit | Pre-master Geschiedenis: Politiek en Parlement | Pre-master Tweejarige Educatieve Master Geschiedenis | Two-year Educational Pre-Master's History,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Language Variation and Multilingualism,Taalwetenschap,Linguistics,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56803,1001O5997,114A124,BACHELOR,180,Nijmegen,ENG | NLD,,6,Linguistics | Pre-Master's Dutch as a Second Language: Teacher and Expert | Pre-Master's Language Variation and Multilingualism | Pre-Master's Language and Communication Technology | Pre-Master's Language and Speech Pathology | Pre-master Language Variation and Multilingualism | Pre-master Nederlands als Tweede Taal: Docent en Expert | Pre-master Taal- en Communicatietechnologie | Pre-master Taal- en Spraakpathologie | Taalwetenschap,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Pre-master Noord-Amerika Studies:Transatlantic Studies: History, Culture and Politics",English Language and Culture,English Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,50290,1001O5672,114A124,BACHELOR,180,Nijmegen,ENG | NLD,,2,"English Language and Culture | Pre-Master's North American Studies: Transatlantic Studies History, Culture and Politics | Pre-master Noord-Amerika Studies:Transatlantic Studies: History, Culture and Politics | Pre-master Tweejarige Educatieve Master Engels | Two-year Educational Pre-Master's English",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Tweejarige Educatieve Master Frans,Romaanse Talen en Culturen,Romance Languages and Cultures,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,OPLEIDING,56074,1001O5835,114A124,BACHELOR,180,Nijmegen,NLD,,2,Pre-master Tweejarige Educatieve Master Frans | Pre-master Tweejarige Educatieve Master Spaans | Romaanse Talen en Culturen | Romance Languages and Cultures | Two-year Educational Pre-Master's French | Two-year Educational Pre-Master's Spanish,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Bestuurskunde,Bestuurskunde,Public Administration,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,56627,1001O5969,114A125,BACHELOR,180,Nijmegen,NLD,,2,Bestuurskunde | Pre-Master's Public Administration | Pre-master Bestuurskunde | Public Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
"Geografie, Planologie en Milieu","Geografie, Planologie en Milieu","Geography, Spatial Planning and Environment",Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,56947,1001O6131,114A125,BACHELOR,180,Nijmegen,ENG | NLD,,5,"Geografie, Planologie en Milieu | Geography, Spatial Planning and Environment | Pre-Master's Environment and Society Studies | Pre-Master's Human Geography | Pre-Master's Spatial Planning | Pre-master Environment and Society Studies | Pre-master Human Geography | Pre-master Spatial Planning | Pre-master Tweejarige Educatieve Master Aardrijkskunde | Two-year Educational Pre-Master's Geography",,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Politicologie,Politicologie,Political Science,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,56606,1001O5942,114A125,BACHELOR,180,Nijmegen,ENG | NLD,,3,Political Science | Politicologie | Pre-Master's Political Science | Pre-master Political Science | Pre-master Tweejarige Educatieve Master Maatschappijwetenschappen | Two-year Educational Pre-Master's Society Studies,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Business Administration,Bedrijfskunde,Business Administration,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,50645,1001O5715,114A125,BACHELOR,180,Nijmegen,ENG,,1,Bedrijfskunde | Business Administration | Pre-Master's Business Administration | Pre-master Business Administration,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
Pre-master Economics,Economie en Bedrijfseconomie,Economics and Business Economics,Radboud Universiteit Nijmegen (RU) Faculteit der Managementwetenschappen,OPLEIDING,50950,1001O5766,114A125,BACHELOR,180,Nijmegen,ENG,,1,Economics and Business Economics | Economie en Bedrijfseconomie | Pre-Master's Economics | Pre-master Economics,,,2026-08-21,DUO RIO HO Opleidingsoverzicht
