programme,registered_name,international_name,institution,official_programme_code,rio_programme_unit_code,offered_programme_code,form,languages,locations,website,all_names,rio_rows
Criminologie,Criminologie,,Erasmus Universiteit Rotterdam,56469,1001O5900,0c4d7e3e-b032-4de4-e063-6ff1ff0ac940,VOLTIJD,NLD,,https://www.eur.nl/bachelor/criminologie,Criminologie,1
Filosofie van een Bepaald Wetenschapsgebied,Filosofie van een Bepaald Wetenschapsgebied,Philosophy of a Specific Discipline,Erasmus Universiteit Rotterdam,57084,1001O6216,0cda5cdf-a844-248e-e063-6ff1ff0a9669,VOLTIJD,NLD,,https://www.eur.nl/bachelor/bachelor-philosophy-specific-discipline,Filosofie van een Bepaald Wetenschapsgebied | Philosophy of a Specific Discipline,1
Fiscaal Recht,Fiscaal Recht,Tax Law,Erasmus Universiteit Rotterdam,56827,1001O6063,0bad61cb-023d-5d99-e063-6ff1ff0aab5f,VOLTIJD,NLD,,https://www.eur.nl/bachelor/fiscaal-recht,Fiscaal Recht | Tax Law,1
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Erasmus Universiteit Rotterdam,50393,1001O5682,0cda5cdf-a7f0-248e-e063-6ff1ff0a9669,VOLTIJD,ENG,,https://www.eur.nl/en/bachelor/liberal-arts-and-sciences,Liberal Arts and Sciences,1
Liberal Arts and Sciences,Liberal Arts and Sciences,Liberal Arts and Sciences,Erasmus Universiteit Rotterdam,50393,1001O5682,fe068847-5f37-4cd2-b244-bdb98f3e0f96,VOLTIJD,ENG,,,Liberal Arts and Sciences,1
Premaster Media Studies,International Bachelor's Programme in Communication and Media,,Erasmus Universiteit Rotterdam,50374,1001O5679,bb4b3738-8444-4889-a610-4ef9de1a1097,VOLTIJD,NLD,,,Premaster Media Studies | International Bachelor's Programme in Communication and Media,1
Theologie,Theologie,,Protestantse Theologische Universiteit,56109,1016O1755,8a8ac1ca-8dbc-4ccc-9603-1b491d0e0b76,VOLTIJD,,Utrecht,,Theologie,1
Theologie (joint degree),Theologie (joint degree),Theology (joint degree),Protestantse Theologische Universiteit,55004,1001O5786,bd01dacc-7403-4f20-8f80-bc57d2b8e87c,VOLTIJD,,Amsterdam,,Theologie (joint degree) | Theology (joint degree),1
Pre-master 1 jarige lerarenopleiding RDA-FFTR,Filosofie,Philosophy,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,56081,1001O5843,135295e8-f4fc-4738-8a5f-d76d21d11bc0,VOLTIJD,NLD,Nijmegen,,Pre-master 1 jarige lerarenopleiding RDA-FFTR | Filosofie | Philosophy | Pre-Master's 1 year Teaching RDA-FFTR,1
Pre-master Filosofie,Filosofie,Philosophy,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,56081,1001O5843,7fce4250-f802-4a3e-b7f6-3b1e52bae8b1,VOLTIJD,NLD,Nijmegen,,Pre-master Filosofie | Filosofie | Philosophy | Pre-Master's Philosophy,1
Pre-master Orthodox Christianity,Religiewetenschappen,Religious Studies,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,50902,1001O5755,4faa0775-2bf4-4a53-9608-7ebbac708ad0,VOLTIJD,ENG,Nijmegen,,Pre-master Orthodox Christianity | Religiewetenschappen | Religious Studies | Pre-Master's Orthodox Christianity,1
Pre-master Theologie,Theologie,Theology,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,56109,1001O5857,875fe5f9-e480-4905-b5a4-c847021f59f5,VOLTIJD,NLD,Nijmegen,,Pre-master Theologie | Theologie | Theology | Pre-Master's Theology,1
"Pre-master Theologie & Religiewetenschappen: Islam, Politiek en Samenleving",Religiewetenschappen,Religious Studies,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,50902,1001O5755,7b9faa9f-7506-4423-85a5-110b32a71301,VOLTIJD,NLD,Nijmegen,,"Pre-master Theologie & Religiewetenschappen: Islam, Politiek en Samenleving | Religiewetenschappen | Religious Studies | Pre-Master's Theology & Religious Studies: Islam, Politics and Society",1
Pre-master Theologie & Religiewetenschappen: Religiewetenschappen,Religiewetenschappen,Religious Studies,Radboud Universiteit Nijmegen (RU) Faculteit der FTR,50902,1001O5755,2521b2f9-e78f-43f0-8876-d9ded264e374,VOLTIJD,NLD,Nijmegen,,Pre-master Theologie & Religiewetenschappen: Religiewetenschappen | Religiewetenschappen | Religious Studies | Pre-Master's Theology & Religious Studies: Religious Studies,1
Duitse Taal en Cultuur,Duitse Taal en Cultuur,German Language and Culture,Radboud Universiteit Nijmegen (RU) Faculteit der Letteren,56805,1001O6009,9a503cb2-0de0-46e8-a71e-da44dccea1c6,VOLTIJD,NLD,Nijmegen,,Duitse Taal en Cultuur | German Language and Culture,1
