ONDERWIJSBESTUURID,ONDERWIJSBESTUUR_NAAM,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDER_NAAM,SOORT,OPLEIDINGSEENHEIDCODE,ERKENDEOPLEIDINGSCODE,VARIANT_VAN,ERKENNER,NAAM_LANG,INTERNATIONALE_NAAM,BEGINDATUM,EINDDATUM,NIVEAU,GRAAD,STUDIELAST,EQF,NLQF,WAARDEDOCUMENTSOORT,PENVOERDER,EIGENNAAM,EIGENNAAM_DUITS,EIGENNAAM_ENGELS,VORM,VOERTAAL,AANGEBODEN_OPLEIDING_BEGINDATUM,AANGEBODEN_OPLEIDING_EINDDATUM,EERSTE_INSTROOMDATUM,LAATSTE_INSTROOMDATUM,WEBSITE,SAMENWERKEND_MET,BUITENLANDSEPARTNER,DEFICIENTIE,EISEN_WERKZAAMHEDEN,PROPEDEUTISCHE_FASE,STUDIEKEUZECHECK,VERSNELD_TRAJECT,AANGEBODEN_OPLEIDINGCODE,EIGEN_AANGEBODEN_OPLEIDINGSLEUTEL,ONDERWIJSLOCATIECODE,ONDERWIJSLOCATIESTRAAT,ONDERWIJSLOCATIEPLAATS,OMSCHRIJVING
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5642,50019,,NVAO,International Business,International Business,2012-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,International Business,,,VOLTIJD,ENG,2012-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,GEEN_STUDIEKEUZE_CHECK,GEEN_VERSNELD_TRAJECT,0e47b3a5-ccd2-4f65-945c-3af5415fa0e5,0e47b3a5-ccd2-4f65-945c-3af5415fa0e5,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5664,50205,,NVAO,Sterrenkunde,Astronomy,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Sterrenkunde,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,49ee7fec-702e-4e02-9c34-7b2446790af0,49ee7fec-702e-4e02-9c34-7b2446790af0,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5664,50205,,NVAO,Sterrenkunde,Astronomy,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Sterrenkunde,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VERPLICHT,GEEN_VERSNELD_TRAJECT,49ee7fec-702e-4e02-9c34-7b2446790af0,49ee7fec-702e-4e02-9c34-7b2446790af0,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5666,50206,,NVAO,Natuurkunde,Physics,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Natuurkunde,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,c31383d8-c766-4d04-8dc8-7b45c862b083,c31383d8-c766-4d04-8dc8-7b45c862b083,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5670,50290,,NVAO,English Language and Culture,English Language and Culture,2013-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,English Language and Culture,,,VOLTIJD,ENG,2013-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,30e12bfc-0a6c-4405-b9a4-44d36fc73867,30e12bfc-0a6c-4405-b9a4-44d36fc73867,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5680,50393,,NVAO,Liberal Arts and Sciences,Liberal Arts and Sciences,2014-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Liberal Arts and Sciences,,,VOLTIJD,ENG,2014-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,GEEN_STUDIEKEUZE_CHECK,GEEN_VERSNELD_TRAJECT,fa0baf5c-377f-4622-896c-bfa4e794154c,fa0baf5c-377f-4622-896c-bfa4e794154c,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5705,50623,,NVAO,American Studies,American Studies,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,American Studies,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,be251e98-fb14-450f-ab0a-e6c36074c106,be251e98-fb14-450f-ab0a-e6c36074c106,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5706,50627,,NVAO,Internationale Betrekkingen en Internationale Organisatie,International Relations and International Organization,2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,Internationale Betrekkingen en Internationale Organisatie,,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,GEEN_STUDIEKEUZE_CHECK,GEEN_VERSNELD_TRAJECT,0611d762-fbeb-447b-a5d3-94fbd74157a0,0611d762-fbeb-447b-a5d3-94fbd74157a0,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5707,50629,,NVAO,"Kunsten, Cultuur en Media","Arts, Culture and Media",2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,"Kunsten, Cultuur en Media",,,VOLTIJD,ENG,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,a8535621-e4bd-4c12-ae3e-c6f3c9faa529,a8535621-e4bd-4c12-ae3e-c6f3c9faa529,114X066,Broerstraat,Groningen,
107B448,Rijksuniversiteit Groningen,113A748,Rijksuniversiteit Groningen,OPLEIDING,1001O5707,50629,,NVAO,"Kunsten, Cultuur en Media","Arts, Culture and Media",2002-09-01,,WO-BA,BACHELOR,180,6,6,GETUIGSCHRIFT,Rijksuniversiteit Groningen,"Kunsten, Cultuur en Media",,,VOLTIJD,NLD,2002-09-01,,,,,,,GEEN_DEFICIENTIES,GEEN_EISEN,GEEN_PROPEDEUTISCHE_FASE,STUDIEKEUZE_CHECK_VAN_TOEPASSING,GEEN_VERSNELD_TRAJECT,9e23a930-ecf9-4d34-8d18-e67f01e7a0bd,9e23a930-ecf9-4d34-8d18-e67f01e7a0bd,114X066,Broerstraat,Groningen,
